Class,Method,Parameter Names,Observed Arg Types,Observed Return Type,Source Code,Comments
I18n::Backend::Base,default,"locale, object, subject, options","locale => (String or Symbol)
object => (String or Symbol)
subject => (Array<%bot> or Array<Symbol> or Array<false> or Hash<%bot, %bot> or Hash<Symbol, Array<String>> or Hash<Symbol, Hash<Symbol, String>> or Hash<Symbol, String> or Proc or String or Symbol or false)
options => (Hash<Symbol, (Array<%bot> or Hash<Symbol, String> or Integer or String)> or Hash<Symbol, (Array<%bot> or Integer or true)> or Hash<Symbol, (Array<%bot> or Proc or true)> or Hash<Symbol, (Array<%bot> or String or true)> or Hash<Symbol, (Array<%bot> or Symbol or true)> or Hash<Symbol, (Array<%bot> or false or true)> or Hash<Symbol, (Array<%bot> or true)> or Hash<Symbol, (Array<String> or Hash<Symbol, String> or Integer or String)> or Hash<Symbol, (Array<String> or String)> or Hash<Symbol, (Array<Symbol> or Hash<Symbol, (Integer or false)>)> or Hash<Symbol, (Array<Symbol> or Integer or true)> or Hash<Symbol, (Array<Symbol> or String or true)> or Hash<Symbol, (Array<Symbol> or String)> or Hash<Symbol, (Array<Symbol> or true)> or Hash<Symbol, (Array<false> or true)> or Hash<Symbol, (Hash<%bot, %bot> or false)> or Hash<Symbol, (Hash<Symbol, (Integer or false)> or Symbol)> or Hash<Symbol, (Hash<Symbol, Array<String>> or String or true)> or Hash<Symbol, (Hash<Symbol, Hash<Symbol, String>> or String or true)> or Hash<Symbol, (Hash<Symbol, String> or Integer)> or Hash<Symbol, (Integer or Proc)> or Hash<Symbol, (Integer or String)> or Hash<Symbol, (Integer or Symbol or true)> or Hash<Symbol, (Proc or String)> or Hash<Symbol, (Proc or false)> or Hash<Symbol, (String or Symbol or true)> or Hash<Symbol, (String or Symbol)> or Hash<Symbol, (String or false)> or Hash<Symbol, (String or true)> or Hash<Symbol, (Symbol or true)> or Hash<Symbol, (false or true)> or Hash<Symbol, (nil or true)> or Hash<Symbol, Array<Symbol>> or Hash<Symbol, Array<false>> or Hash<Symbol, Hash<%bot, %bot>> or Hash<Symbol, Hash<Symbol, String>> or Hash<Symbol, Proc> or Hash<Symbol, String> or Hash<Symbol, Symbol> or Hash<Symbol, false> or Hash<Symbol, nil>)
","(Hash<%bot, %bot> or Hash<Symbol, Array<String>> or Hash<Symbol, Hash<Symbol, String>> or Hash<Symbol, String> or Proc or String or false)","        def default(locale, object, subject, options = EMPTY_HASH)
          options = options.reject { |key, value| key == :default }
          case subject
          when Array
            subject.each do |item|
              result = resolve(locale, object, item, options)
              return result unless result.nil?
            end and nil
          else
            resolve(locale, object, subject, options)
          end
        end
","# Evaluates defaults.
# If given subject is an Array, it walks the array and returns the
# first translation that can be resolved. Otherwise it tries to resolve
# the translation directly.
"
I18n::Backend::Base,pluralize,"locale, entry, count","locale => Symbol
entry => (Hash<Symbol, (Hash<Symbol, String> or String)> or Hash<Symbol, String> or String)
count => Integer
","(Hash<Symbol, (Hash<Symbol, String> or String)> or String)","        def pluralize(locale, entry, count)
          return entry unless entry.is_a?(Hash) && count && entry.values.none? { |v| v.is_a?(Hash) }

          key = pluralization_key(entry, count)
          raise InvalidPluralizationData.new(entry, count, key) unless entry.has_key?(key)
          entry[key]
        end
","# Picks a translation from a pluralized mnemonic subkey according to English
# pluralization rules :
# - It will pick the :one subkey if count is equal to 1.
# - It will pick the :other subkey otherwise.
# - It will pick the :zero subkey in the special case where count is
#   equal to 0 and there is a :zero subkey present. This behaviour is
#   not standard with regards to the CLDR pluralization rules.
# Other backends can implement more flexible or complex pluralization rules.
"
I18n::Backend::Base,interpolate,"locale, subject, values","locale => (String or Symbol)
subject => (Array<(Integer or String)> or Array<Hash<Symbol, String>> or Array<String> or Hash<%bot, %bot> or Hash<(false or true), String> or Hash<Integer, String> or Hash<Symbol, (Hash<Symbol, String> or String)> or Hash<Symbol, String> or Proc or String or false or true)
values => (Hash<%bot, %bot> or Hash<Symbol, Float> or Hash<Symbol, Integer> or Hash<Symbol, Proc> or Hash<Symbol, String> or Hash<Symbol, nil>)
","(Array<(Integer or String)> or Array<Hash<Symbol, String>> or Array<String> or Hash<%bot, %bot> or Hash<(false or true), String> or Hash<Integer, String> or Hash<Symbol, (Hash<Symbol, String> or String)> or Hash<Symbol, String> or Proc or String or false or true)","        def interpolate(locale, subject, values = EMPTY_HASH)
          return subject if values.empty?

          case subject
          when ::String then I18n.interpolate(subject, values)
          when ::Array then subject.map { |element| interpolate(locale, element, values) }
          else
            subject
          end
        end
","# Interpolates values into a given subject.
#
#   if the given subject is a string then:
#   method interpolates ""file %{file} opened by %%{user}"", :file => 'test.txt', :user => 'Mr. X'
#   # => ""file test.txt opened by %{user}""
#
#   if the given subject is an array then:
#   each element of the array is recursively interpolated (until it finds a string)
#   method interpolates [""yes, %{user}"", [""maybe no, %{user}, ""no, %{user}""]], :user => ""bartuz""
#   # => ""[""yes, bartuz"",[""maybe no, bartuz"", ""no, bartuz""]]""
"
I18n::Backend::Base,deep_interpolate,"locale, data, values","locale => String
data => (Array<String> or Hash<Symbol, Array<String>> or Hash<Symbol, Hash<Symbol, String>> or Hash<Symbol, String> or String)
values => (Hash<%bot, %bot> or Hash<Symbol, String>)
","(Array<String> or Hash<Symbol, Array<String>> or Hash<Symbol, Hash<Symbol, String>> or Hash<Symbol, String> or String)","        def deep_interpolate(locale, data, values = EMPTY_HASH)
          return data if values.empty?

          case data
          when ::String
            I18n.interpolate(data, values)
          when ::Hash
            data.each_with_object({}) do |(k, v), result|
              result[k] = deep_interpolate(locale, v, values)
            end
          when ::Array
            data.map do |v|
              deep_interpolate(locale, v, values)
            end
          else
            data
          end
        end
","# Deep interpolation
#
#   deep_interpolate { people: { ann: ""Ann is %{ann}"", john: ""John is %{john}"" } },
#                    ann: 'good', john: 'big'
#   #=> { people: { ann: ""Ann is good"", john: ""John is big"" } }
"
I18n::Backend::Base,load_file,filename,"filename => String
","(Hash<String, Hash<String, (Hash<String, (Array<String> or Hash<String, String>)> or Hash<String, (Hash<String, (Hash<String, (Hash<String, (Hash<String, String> or String)> or String)> or Hash<String, (Hash<String, String> or String)> or Hash<String, (Integer or String or true)>)> or Hash<String, (Integer or String or false)> or Hash<String, Hash<String, (Integer or String or false)>> or Hash<String, Hash<String, String>>)> or Hash<String, (Hash<String, String> or String)> or Hash<String, Hash<String, String>>)>> or Hash<String, Hash<String, Hash<String, String>>> or Hash<Symbol, Hash<String, (Hash<String, (Hash<Symbol, String> or String)> or Hash<Symbol, String> or String)>> or Hash<Symbol, Hash<Symbol, Hash<Symbol, Hash<Symbol, (Array<Symbol> or Proc)>>>> or Hash<Symbol, Hash<Symbol, Hash<Symbol, Hash<Symbol, Proc>>>> or Hash<Symbol, Hash<Symbol, Hash<Symbol, String>>>)","        def load_file(filename)
          type = File.extname(filename).tr('.', '').downcase
          raise UnknownFileType.new(type, filename) unless respond_to?(:""load_#{type}"", true)
          data = send(:""load_#{type}"", filename)
          unless data.is_a?(Hash)
            raise InvalidLocaleData.new(filename, 'expects it to return a hash, but does not')
          end
          data.each { |locale, d| store_translations(locale, d || {}) }
        end
","# Loads a single translations file by delegating to #load_rb or
# #load_yml depending on the file extension and directly merges the
# data to the existing translations. Raises I18n::UnknownFileType
# for all other file extensions.
"
I18n::Backend::Base,load_rb,filename,"filename => String
","(Hash<Symbol, Hash<Symbol, Hash<Symbol, Hash<Symbol, (Array<Symbol> or Proc)>>>> or Hash<Symbol, Hash<Symbol, Hash<Symbol, Hash<Symbol, Proc>>>> or Hash<Symbol, Hash<Symbol, Hash<Symbol, String>>>)","        def load_rb(filename)
          eval(IO.read(filename), binding, filename)
        end
","# Loads a plain Ruby translations file. eval'ing the file must yield
# a Hash containing translation data with locales as toplevel keys.
"
I18n::Backend::Base,load_yml,filename,"filename => String
","(Hash<String, Hash<String, (Hash<String, (Array<String> or Hash<String, String>)> or Hash<String, (Hash<String, (Hash<String, (Hash<String, (Hash<String, String> or String)> or String)> or Hash<String, (Hash<String, String> or String)> or Hash<String, (Integer or String or true)>)> or Hash<String, (Integer or String or false)> or Hash<String, Hash<String, (Integer or String or false)>> or Hash<String, Hash<String, String>>)> or Hash<String, (Hash<String, String> or String)> or Hash<String, Hash<String, String>>)>> or Hash<String, Hash<String, Hash<String, String>>> or Hash<Symbol, Hash<Symbol, Hash<Symbol, String>>> or false)","        def load_yml(filename)
          begin
            YAML.load_file(filename)
          rescue TypeError, ScriptError, StandardError => e
            raise InvalidLocaleData.new(filename, e.inspect)
          end
        end
","# Loads a YAML translations file. The data must have locales as
# toplevel keys.
"
I18n::Backend::Base,load_json,filename,"filename => String
","Hash<String, Hash<String, Hash<String, String>>>","        def load_json(filename)
          begin
            ::JSON.parse(File.read(filename))
          rescue TypeError, StandardError => e
            raise InvalidLocaleData.new(filename, e.inspect)
          end
        end
","# Loads a JSON translations file. The data must have locales as
# toplevel keys.
"
I18n::Backend::Base,translate_localization_format,"locale, object, format, options","locale => Symbol
object => (Date or Time)
format => String
options => (Hash<%bot, %bot> or Hash<Symbol, (Date or String or Symbol or true)> or Hash<Symbol, (Date or Symbol or true)> or Hash<Symbol, (DateTime or String or Symbol or true)> or Hash<Symbol, (DateTime or Symbol or true)> or Hash<Symbol, (String or Symbol or Time or true)> or Hash<Symbol, (Symbol or Time or true)>)
",String,"        def translate_localization_format(locale, object, format, options)
          format.to_s.gsub(/%(|\^)[aAbBpP]/) do |match|
            case match
            when '%a' then I18n.t!(:""date.abbr_day_names"",                  :locale => locale, :format => format)[object.wday]
            when '%^a' then I18n.t!(:""date.abbr_day_names"",                 :locale => locale, :format => format)[object.wday].upcase
            when '%A' then I18n.t!(:""date.day_names"",                       :locale => locale, :format => format)[object.wday]
            when '%^A' then I18n.t!(:""date.day_names"",                      :locale => locale, :format => format)[object.wday].upcase
            when '%b' then I18n.t!(:""date.abbr_month_names"",                :locale => locale, :format => format)[object.mon]
            when '%^b' then I18n.t!(:""date.abbr_month_names"",               :locale => locale, :format => format)[object.mon].upcase
            when '%B' then I18n.t!(:""date.month_names"",                     :locale => locale, :format => format)[object.mon]
            when '%^B' then I18n.t!(:""date.month_names"",                    :locale => locale, :format => format)[object.mon].upcase
            when '%p' then I18n.t!(:""time.#{object.hour < 12 ? :am : :pm}"", :locale => locale, :format => format).upcase if object.respond_to? :hour
            when '%P' then I18n.t!(:""time.#{object.hour < 12 ? :am : :pm}"", :locale => locale, :format => format).downcase if object.respond_to? :hour
            end
          end
        rescue MissingTranslationData => e
          e.message
        end
",""
I18n::Backend::Base,pluralization_key,"entry, count","entry => (Hash<Symbol, String> or I18n::Backend::KeyValue::SubtreeProxy)
count => Integer
",Symbol,"        def pluralization_key(entry, count)
          key = :zero if count == 0 && entry.has_key?(:zero)
          key ||= count == 1 ? :one : :other
        end
",""
I18n::Backend::CacheFile,load_file,filename,"filename => String
","(Hash<Symbol, (Array<(Integer or String)> or Hash<String, Array<(Integer or String)>>)> or Hash<Symbol, Hash<Symbol, Array<(Integer or String)>>>)","      def load_file(filename)
        initialized = !respond_to?(:initialized?) || initialized?
        key = I18n::Backend::Flatten.escape_default_separator(normalized_path(filename))
        old_mtime, old_digest = initialized && lookup(:i18n, key, :load_file)
        return if (mtime = File.mtime(filename).to_i) == old_mtime ||
                  (digest = Digest::SHA2.file(filename).hexdigest) == old_digest
        super
        store_translations(:i18n, load_file: { key => [mtime, digest] })
      end
","# Track loaded translation files in the `i18n.load_file` scope,
# and skip loading the file if its contents are still up-to-date.
"
I18n::Backend::CacheFile,normalized_path,file,"file => String
",String,"      def normalized_path(file)
        return file unless path_roots
        path = path_roots.find(&file.method(:start_with?)) ||
               raise(InvalidLocaleData.new(file, 'outside expected path roots'))
        file.sub(path, path_roots.index(path).to_s)
      end
","# Translate absolute filename to relative path for i18n key.
"
I18n::Backend::InterpolationCompiler::Compiler,compile_if_an_interpolation,string,"string => (Array<%bot> or Array<String> or Hash<Symbol, Array<String>> or Hash<Symbol, Hash<Symbol, String>> or String)
","(Array<%bot> or Array<String> or Hash<Symbol, Array<String>> or Hash<Symbol, Hash<Symbol, String>> or String)","        def compile_if_an_interpolation(string)
          if interpolated_str?(string)
            string.instance_eval <<-RUBY_EVAL, __FILE__, __LINE__
              def i18n_interpolate(v = {})
                ""#{compiled_interpolation_body(string)}""
              end
            RUBY_EVAL
          end

          string
        end
",""
I18n::Backend::InterpolationCompiler::Compiler,interpolated_str?,str,"str => (Array<%bot> or Array<String> or Hash<Symbol, Array<String>> or Hash<Symbol, Hash<Symbol, String>> or String)
",(Integer or false),"        def interpolated_str?(str)
          str.kind_of?(::String) && str =~ INTERPOLATION_SYNTAX_PATTERN
        end
",""
I18n::Backend::InterpolationCompiler::Compiler,tokenize,str,"str => String
",Array<String>,"        def tokenize(str)
          str.split(TOKENIZER)
        end
","# tokenize(""foo %{bar} baz %%{buz}"") # => [""foo "", ""%{bar}"", "" baz "", ""%%{buz}""]
"
I18n::Backend::InterpolationCompiler::Compiler,compiled_interpolation_body,str,"str => String
",String,"        def compiled_interpolation_body(str)
          tokenize(str).map do |token|
            (matchdata = token.match(INTERPOLATION_SYNTAX_PATTERN)) ? handle_interpolation_token(token, matchdata) : escape_plain_str(token)
          end.join
        end
",""
I18n::Backend::InterpolationCompiler::Compiler,handle_interpolation_token,"interpolation, matchdata","interpolation => String
matchdata => MatchData
",String,"        def handle_interpolation_token(interpolation, matchdata)
          escaped, pattern, key = matchdata.values_at(1, 2, 3)
          escaped ? pattern : compile_interpolation_token(key.to_sym)
        end
",""
I18n::Backend::InterpolationCompiler::Compiler,compile_interpolation_token,key,"key => Symbol
",String,"        def compile_interpolation_token(key)
          ""\#{#{interpolate_or_raise_missing(key)}}""
        end
",""
I18n::Backend::InterpolationCompiler::Compiler,interpolate_or_raise_missing,key,"key => Symbol
",String,"        def interpolate_or_raise_missing(key)
          escaped_key = escape_key_sym(key)
          RESERVED_KEYS.include?(key) ? reserved_key(escaped_key) : interpolate_key(escaped_key)
        end
",""
I18n::Backend::InterpolationCompiler::Compiler,interpolate_key,key,"key => String
",String,"        def interpolate_key(key)
          [direct_key(key), nil_key(key), missing_key(key)].join('||')
        end
",""
I18n::Backend::InterpolationCompiler::Compiler,direct_key,key,"key => String
",String,"        def direct_key(key)
          ""((t = v[#{key}]) && t.respond_to?(:call) ? t.call : t)""
        end
",""
I18n::Backend::InterpolationCompiler::Compiler,nil_key,key,"key => String
",String,"        def nil_key(key)
          ""(v.has_key?(#{key}) && '')""
        end
",""
I18n::Backend::InterpolationCompiler::Compiler,missing_key,key,"key => String
",String,"        def missing_key(key)
          ""I18n.config.missing_interpolation_argument_handler.call(#{key}, v, self)""
        end
",""
I18n::Backend::InterpolationCompiler::Compiler,reserved_key,key,"key => String
",String,"        def reserved_key(key)
          ""raise(ReservedInterpolationKey.new(#{key}, self))""
        end
",""
I18n::Backend::InterpolationCompiler::Compiler,escape_plain_str,str,"str => String
",String,"        def escape_plain_str(str)
          str.gsub(/""|\\|#/) {|x| ""\\#{x}""}
        end
",""
I18n::Backend::InterpolationCompiler::Compiler,escape_key_sym,key,"key => (String or Symbol)
",String,"        def escape_key_sym(key)
          # rely on Ruby to do all the hard work :)
          key.to_sym.inspect
        end
",""
I18n::Backend::InterpolationCompiler,interpolate,"locale, string, values","locale => (String or Symbol)
string => (Array<String> or String)
values => (Hash<%bot, %bot> or Hash<Symbol, Integer> or Hash<Symbol, Proc> or Hash<Symbol, String> or Hash<Symbol, nil>)
",(Array<String> or String),"      def interpolate(locale, string, values)
        if string.respond_to?(:i18n_interpolate)
          string.i18n_interpolate(values)
        elsif values
          super
        else
          string
        end
      end
",""
I18n::Backend::InterpolationCompiler,compile_all_strings_in,data,"data => (Hash<String, String> or Hash<Symbol, Array<String>> or Hash<Symbol, String>)
","(Hash<String, String> or Hash<Symbol, Array<String>> or Hash<Symbol, String>)","      def compile_all_strings_in(data)
        data.each_value do |value|
          Compiler.compile_if_an_interpolation(value)
          compile_all_strings_in(value) if value.kind_of?(Hash)
        end
      end
",""
I18n::Backend::Transliterator,transliterate,"locale, string, replacement","locale => Symbol
string => String
replacement => nil
",String,"      def transliterate(locale, string, replacement = nil)
        @transliterators ||= {}
        @transliterators[locale] ||= Transliterator.get I18n.t(:'i18n.transliterate.rule',
          :locale => locale, :resolve => false, :default => {})
        @transliterators[locale].transliterate(string, replacement)
      end
","# Given a locale and a UTF-8 string, return the locale's ASCII
# approximation for the string.
"
I18n::Backend::Transliterator::ProcTransliterator,initialize,rule,"rule => Proc
",Proc,"        def initialize(rule)
          @rule = rule
        end
",""
