Class,Method,Parameter Names,Observed Arg Types,Observed Return Type,Source Code,Comments
[s]CarrierWave::SanitizedFile,sanitize_regexp,"","",Regexp,"      def sanitize_regexp
        @sanitize_regexp ||= /[^[:word:]\.\-\+]/
      end
",""
CarrierWave::SanitizedFile,original_filename,"","",String,"    def original_filename
      return @original_filename if @original_filename
      if @file and @file.respond_to?(:original_filename)
        @file.original_filename
      elsif path
        File.basename(path)
      end
    end
","##
# Returns the filename as is, without sanitizing it.
#
# === Returns
#
# [String] the unsanitized filename
#
"
CarrierWave::SanitizedFile,filename,"","",String,"    def filename
      sanitize(original_filename) if original_filename
    end
","##
# Returns the filename, sanitized to strip out any evil characters.
#
# === Returns
#
# [String] the sanitized filename
#
"
CarrierWave::SanitizedFile,basename,"","",String,"    def basename
      split_extension(filename)[0] if filename
    end
","##
# Returns the part of the filename before the extension. So if a file is called 'test.jpeg'
# this would return 'test'
#
# === Returns
#
# [String] the first part of the filename
#
"
CarrierWave::SanitizedFile,extension,"","",String,"    def extension
      split_extension(filename)[1] if filename
    end
","##
# Returns the file extension
#
# === Returns
#
# [String] the extension
#
"
CarrierWave::SanitizedFile,size,"","",Integer,"    def size
      if is_path?
        exists? ? File.size(path) : 0
      elsif @file.respond_to?(:size)
        @file.size
      elsif path
        exists? ? File.size(path) : 0
      else
        0
      end
    end
","##
# Returns the file's size.
#
# === Returns
#
# [Integer] the file's size in bytes.
#
"
CarrierWave::SanitizedFile,path,"","",String,"    def path
      return if @file.blank?
      if is_path?
        File.expand_path(@file)
      elsif @file.respond_to?(:path) && !@file.path.blank?
        File.expand_path(@file.path)
      end
    end
","##
# Returns the full path to the file. If the file has no path, it will return nil.
#
# === Returns
#
# [String, nil] the path where the file is located.
#
"
CarrierWave::SanitizedFile,is_path?,"","",(false or true),"    def is_path?
      !!((@file.is_a?(String) || @file.is_a?(Pathname)) && !@file.blank?)
    end
","##
# === Returns
#
# [Boolean] whether the file is supplied as a pathname or string.
#
"
CarrierWave::SanitizedFile,empty?,"","",(false or true),"    def empty?
      @file.nil? || self.size.nil? || (self.size.zero? && ! self.exists?)
    end
","##
# === Returns
#
# [Boolean] whether the file is valid and has a non-zero size
#
"
CarrierWave::SanitizedFile,exists?,"","",(false or true),"    def exists?
      self.path.present? && File.exist?(self.path)
    end
","##
# === Returns
#
# [Boolean] Whether the file exists
#
"
CarrierWave::SanitizedFile,read,"","",String,"    def read
      if @content
        @content
      elsif is_path?
        File.open(@file, ""rb"") {|file| file.read}
      else
        @file.try(:rewind)
        @content = @file.read
        @file.try(:close) unless @file.try(:closed?)
        @content
      end
    end
","##
# Returns the contents of the file.
#
# === Returns
#
# [String] contents of the file
#
"
CarrierWave::SanitizedFile,move_to,"new_path, permissions, directory_permissions, keep_filename","new_path => String
permissions => Integer
directory_permissions => Integer
keep_filename => (false or true)
",CarrierWave::SanitizedFile,"    def move_to(new_path, permissions=nil, directory_permissions=nil, keep_filename=false)
      return if self.empty?
      new_path = File.expand_path(new_path)

      mkdir!(new_path, directory_permissions)
      move!(new_path)
      chmod!(new_path, permissions)
      if keep_filename
        self.file = {:tempfile => new_path, :filename => original_filename, :content_type => content_type}
      else
        self.file = {:tempfile => new_path, :content_type => content_type}
      end
      self
    end
","##
# Moves the file to the given path
#
# === Parameters
#
# [new_path (String)] The path where the file should be moved.
# [permissions (Integer)] permissions to set on the file in its new location.
# [directory_permissions (Integer)] permissions to set on created directories.
#
"
CarrierWave::SanitizedFile,move!,new_path,"new_path => String
",Integer,"    def move!(new_path)
      if exists?
        FileUtils.mv(path, new_path) unless File.identical?(new_path, path)
      else
        File.open(new_path, ""wb"") { |f| f.write(read) }
      end
    end
","##
# Helper to move file to new path.
#
"
CarrierWave::SanitizedFile,copy_to,"new_path, permissions, directory_permissions","new_path => String
permissions => Integer
directory_permissions => Integer
",CarrierWave::SanitizedFile,"    def copy_to(new_path, permissions=nil, directory_permissions=nil)
      return if self.empty?
      new_path = File.expand_path(new_path)

      mkdir!(new_path, directory_permissions)
      copy!(new_path)
      chmod!(new_path, permissions)
      self.class.new({:tempfile => new_path, :content_type => content_type})
    end
","##
# Creates a copy of this file and moves it to the given path. Returns the copy.
#
# === Parameters
#
# [new_path (String)] The path where the file should be copied to.
# [permissions (Integer)] permissions to set on the copy
# [directory_permissions (Integer)] permissions to set on created directories.
#
# === Returns
#
# @return [CarrierWave::SanitizedFile] the location where the file will be stored.
#
"
CarrierWave::SanitizedFile,copy!,new_path,"new_path => String
",Integer,"    def copy!(new_path)
      if exists?
        FileUtils.cp(path, new_path) unless new_path == path
      else
        File.open(new_path, ""wb"") { |f| f.write(read) }
      end
    end
","##
# Helper to create copy of file in new path.
#
"
CarrierWave::SanitizedFile,delete,"","",Array<String>,"    def delete
      FileUtils.rm(self.path) if exists?
    end
","##
# Removes the file from the filesystem.
#
"
CarrierWave::SanitizedFile,to_file,"","",File,"    def to_file
      return @file if @file.is_a?(File)
      File.open(path, ""rb"") if exists?
    end
","##
# Returns a File object, or nil if it does not exist.
#
# === Returns
#
# [File] a File object representing the SanitizedFile
#
"
CarrierWave::SanitizedFile,content_type,"","",String,"    def content_type
      @content_type ||=
        existing_content_type ||
        mime_magic_content_type ||
        mini_mime_content_type
    end
","##
# Returns the content type of the file.
#
# === Returns
#
# [String] the content type of the file
#
"
CarrierWave::SanitizedFile,content_type=,type,"type => String
",String,"    def content_type=(type)
      @content_type = type
    end
","##
# Sets the content type of the file.
#
# === Returns
#
# [String] the content type of the file
#
"
CarrierWave::SanitizedFile,sanitize_regexp,"","",Regexp,"    def sanitize_regexp
      CarrierWave::SanitizedFile.sanitize_regexp
    end
","##
# Used to sanitize the file name. Public to allow overriding for non-latin characters.
#
# === Returns
#
# [Regexp] the regexp for sanitizing the file name
#
"
CarrierWave::SanitizedFile,mkdir!,"path, directory_permissions","path => String
directory_permissions => Integer
",Array<String>,"    def mkdir!(path, directory_permissions)
      options = {}
      options[:mode] = directory_permissions if directory_permissions
      FileUtils.mkdir_p(File.dirname(path), **options) unless File.exist?(File.dirname(path))
    end
","# create the directory if it doesn't exist
"
CarrierWave::SanitizedFile,chmod!,"path, permissions","path => String
permissions => Integer
",Integer,"    def chmod!(path, permissions)
      File.chmod(permissions, path) if permissions
    end
",""
CarrierWave::SanitizedFile,sanitize,name,"name => String
",String,"    def sanitize(name)
      name = name.tr(""\\"", ""/"") # work-around for IE
      name = File.basename(name)
      name = name.gsub(sanitize_regexp,""_"")
      name = ""_#{name}"" if name =~ /\A\.+\z/
      name = ""unnamed"" if name.size.zero?
      return name.mb_chars.to_s
    end
","# Sanitize the filename, to prevent hacking
"
CarrierWave::SanitizedFile,existing_content_type,"","",String,"    def existing_content_type
      if @file.respond_to?(:content_type) && @file.content_type
        @file.content_type.to_s.chomp
      end
    end
",""
CarrierWave::SanitizedFile,mime_magic_content_type,"","",String,"    def mime_magic_content_type
      if path
        File.open(path) do |file|
          MimeMagic.by_magic(file).try(:type) || 'invalid/invalid'
        end
      end
    rescue Errno::ENOENT
      nil
    end
",""
CarrierWave::SanitizedFile,mini_mime_content_type,"","",String,"    def mini_mime_content_type
      return unless path
      mime_type = ::MiniMime.lookup_by_filename(path)
      @content_type = (mime_type && mime_type.content_type).to_s
    end
",""
CarrierWave::SanitizedFile,split_extension,filename,"filename => String
",Array<String>,"    def split_extension(filename)
      # regular expressions to try for identifying extensions
      extension_matchers = [
        /\A(.+)\.(tar\.([glx]?z|bz2))\z/, # matches ""something.tar.gz""
        /\A(.+)\.([^\.]+)\z/ # matches ""something.jpg""
      ]

      extension_matchers.each do |regexp|
        if filename =~ regexp
          return $1, $2
        end
      end
      return filename, """" # In case we weren't able to split the extension
    end
",""
CarrierWave::Mounter,uploader_class,"","",Class,"    def uploader_class
      record.class.uploaders[column]
    end
",""
CarrierWave::Mounter,identifiers,"","",(Array<String> or Array<nil>),"    def identifiers
      uploaders.map(&:identifier)
    end
",""
CarrierWave::Mounter,read_identifiers,"","",(Array<%bot> or Array<String>),"    def read_identifiers
      [record.read_uploader(serialization_column)].flatten.reject(&:blank?)
    end
",""
CarrierWave::Mounter,cache_names,"","",(Array<%bot> or Array<String>),"    def cache_names
      uploaders.map(&:cache_name).compact
    end
",""
CarrierWave::Mounter,cache_names=,cache_names,"cache_names => (Array<String> or Array<nil>)
",Array<String>,"    def cache_names=(cache_names)
      cache_names = cache_names.reject(&:blank?)
      return if cache_names.blank?
      clear_unstaged
      cache_names.each do |cache_name|
        begin
          uploader = blank_uploader
          uploader.retrieve_from_cache!(cache_name)
          @uploaders << uploader
        rescue CarrierWave::InvalidParameter
          # ignore
        end
      end
    end
",""
CarrierWave::Mounter,remote_urls=,urls,"urls => (Array<String> or Array<nil> or String)
",Array<Array<String>>,"    def remote_urls=(urls)
      return if urls.blank? || urls.all?(&:blank?)

      @remote_urls = urls

      clear_unstaged
      urls.zip(remote_request_headers || []).each do |url, header|
        handle_error do
          uploader = blank_uploader
          uploader.download!(url, header || {})
          @uploaders << uploader
        end
      end
    end
",""
CarrierWave::Mounter,urls,args,"args => Array<%bot>
",(Array<%bot> or Array<String>),"    def urls(*args)
      uploaders.map { |u| u.url(*args) }
    end
",""
CarrierWave::Mounter,blank?,"","",(false or true),"    def blank?
      uploaders.none?(&:present?)
    end
",""
CarrierWave::Mounter,remove?,"","",(false or true),"    def remove?
      remove.present? && (remove == true || remove !~ /\A0|false$\z/)
    end
",""
CarrierWave::Mounter,remove!,"","",Array<%bot>,"    def remove!
      uploaders.reject(&:blank?).each(&:remove!)
      @uploaders = []
    end
",""
CarrierWave::Mounter,clear!,"","",Array<%bot>,"    def clear!
      @uploaders = []
    end
",""
CarrierWave::Mounter,serialization_column,"","",Symbol,"    def serialization_column
      option(:mount_on) || column
    end
",""
CarrierWave::Mounter,option,name,"name => Symbol
",(Symbol or false or true),"    def option(name)
      self.uploader_options ||= {}
      self.uploader_options[name] ||= record.class.uploader_option(column, name)
    end
",""
CarrierWave::Compatibility::Paperclip,store_path,for_file,"for_file => String
",String,"      def store_path(for_file=filename)
        path = paperclip_path
        self.filename = for_file
        path ||= File.join(*[store_dir, paperclip_style.to_s, for_file].compact)
        interpolate_paperclip_path(path)
      end
",""
CarrierWave::Compatibility::Paperclip,store_dir,"","",String,"      def store_dir
        "":rails_root/public/system/:attachment/:id""
      end
",""
CarrierWave::Compatibility::Paperclip,paperclip_default_style,"","",Symbol,"      def paperclip_default_style
        :original
      end
",""
CarrierWave::Compatibility::Paperclip,paperclip_path,"","",nil,"      def paperclip_path
      end
",""
CarrierWave::Compatibility::Paperclip,paperclip_style,"","",Symbol,"      def paperclip_style
        version_name || paperclip_default_style
      end
",""
CarrierWave::Compatibility::Paperclip,interpolate_paperclip_path,path,"path => String
",String,"      def interpolate_paperclip_path(path)
        mappings.each_pair.inject(path) do |agg, pair|
          agg.gsub("":#{pair[0]}"") { pair[1].call(self, self.paperclip_style).to_s }
        end
      end
",""
CarrierWave::Compatibility::Paperclip::ClassMethods,interpolate,"sym, block","sym => Symbol
block => nil
",Proc,"        def interpolate(sym, &block)
          mappings[sym] = block
        end
",""
CarrierWave::Downloader::Base,download,"url, remote_headers","url => String
remote_headers => (Hash<%bot, %bot> or Hash<String, String>)
",CarrierWave::Downloader::RemoteFile,"      def download(url, remote_headers = {})
        headers = remote_headers.
          reverse_merge('User-Agent' => ""CarrierWave/#{CarrierWave::VERSION}"")
        begin
          file = OpenURI.open_uri(process_uri(url.to_s), headers)
        rescue StandardError => e
          raise CarrierWave::DownloadError, ""could not download file: #{e.message}""
        end
        CarrierWave::Downloader::RemoteFile.new(file)
      end
","##
# Downloads a file from given URL and returns a RemoteFile.
#
# === Parameters
#
# [url (String)] The URL where the remote file is stored
# [remote_headers (Hash)] Request headers
#
"
CarrierWave::Downloader::Base,process_uri,uri,"uri => String
",URI::Generic,"      def process_uri(uri)
        uri_parts = uri.split('?')
        encoded_uri = Addressable::URI.parse(uri_parts.shift).normalize.to_s
        encoded_uri << '?' << Addressable::URI.encode(uri_parts.join('?')).gsub('%5B', '[').gsub('%5D', ']') if uri_parts.any?
        URI.parse(encoded_uri)
      rescue URI::InvalidURIError, Addressable::URI::InvalidURIError
        raise CarrierWave::DownloadError, ""couldn't parse URL: #{uri}""
      end
","##
# Processes the given URL by parsing and escaping it. Public to allow overriding.
#
# === Parameters
#
# [url (String)] The URL where the remote file is stored
#
"
CarrierWave::Downloader::RemoteFile,initialize,file,"file => (File or StringIO or Tempfile)
",(File or StringIO or Tempfile),"      def initialize(file)
        @file = file.is_a?(String) ? StringIO.new(file) : file
      end
",""
CarrierWave::Downloader::RemoteFile,original_filename,"","",String,"      def original_filename
        filename = filename_from_header || filename_from_uri
        mime_type = MiniMime.lookup_by_content_type(file.content_type)
        unless File.extname(filename).present? || mime_type.blank?
          filename = ""#{filename}.#{mime_type.extension}""
        end
        filename
      end
",""
CarrierWave::Downloader::RemoteFile,respond_to?,args,"args => Array<RDL::Type::NominalType>
",(false or true),"      def respond_to?(*args)
        super || file.respond_to?(*args)
      end
",""
CarrierWave::Downloader::RemoteFile,filename_from_header,"","",String,"      def filename_from_header
        return nil unless file.meta.include? 'content-disposition'

        match = file.meta['content-disposition'].match(/filename=(?:""([^""]+)""|([^"";]+))/)
        return nil unless match

        match[1].presence || match[2].presence
      end
",""
CarrierWave::Downloader::RemoteFile,filename_from_uri,"","",String,"      def filename_from_uri
        CGI.unescape(File.basename(file.base_uri.path))
      end
",""
CarrierWave::Downloader::RemoteFile,method_missing,"args, block","args => Array<RDL::Type::NominalType>
block => nil
",(File or Integer or String or URI::HTTP or false),"      def method_missing(*args, &block)
        file.send(*args, &block)
      end
",""
CarrierWave::ActiveRecord,mount_uploader,"column, uploader, options, block","column => Symbol
uploader => Class
options => (Hash<%bot, %bot> or Hash<Symbol, Symbol>)
block => nil
",Symbol,"    def mount_uploader(column, uploader=nil, options={}, &block)
      super

      mod = Module.new
      prepend mod
      mod.class_eval <<-RUBY, __FILE__, __LINE__+1
        def remote_#{column}_url=(url)
          column = _mounter(:#{column}).serialization_column
          __send__(:""\#{column}_will_change!"")
          super
        end
      RUBY
    end
","##
# See +CarrierWave::Mount#mount_uploader+ for documentation
#
"
CarrierWave::ActiveRecord,mount_uploaders,"column, uploader, options, block","column => Symbol
uploader => Class
options => (Hash<%bot, %bot> or Hash<Symbol, Symbol>)
block => nil
",Symbol,"    def mount_uploaders(column, uploader=nil, options={}, &block)
      super

      mod = Module.new
      prepend mod
      mod.class_eval <<-RUBY, __FILE__, __LINE__+1
        def remote_#{column}_urls=(url)
          column = _mounter(:#{column}).serialization_column
          __send__(:""\#{column}_will_change!"")
          super
        end
      RUBY
    end
","##
# See +CarrierWave::Mount#mount_uploaders+ for documentation
#
"
